joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
4/1/2016,Startup,https://angel.co/company/elemeno-health,Oakland,Training,Elemeno Health,,1635000,Nov-50,Seed,elemenohealth.com,3.706849315,441075.388,0,0,25,168,399
2/1/2013,Startup,https://angel.co/company/elements-brands,Charlotte,E-Commerce,Elements Brands,,3300000,Nov-50,Series A,elementsbrands.com,6.871232877,480263.1579,1,0,25,407,9
8/1/2012,Startup,https://angel.co/company/elepago,Monterrey,Mobile Payments,Elepago,,425000,10-Jan,Seed,elepago.mx,7.375342466,57624.44279,0,0,5,262,285
3/1/2013,Startup,https://angel.co/company/eliademy-1,Finland,Education,Eliademy,,220000,Nov-50,Seed,eliademy.com,6.794520548,32379.03226,0,0,25,1673,2115
10/1/2012,Startup,https://angel.co/company/elimi,Sopot,Mobile Games,Elimi,,135000,10-Jan,Seed,ElimiApp.com,7.208219178,18728.6203,0,0,5,64,21
6/1/2015,Startup,https://angel.co/company/ellevest,New York City,Investment Management,Ellevest,,44600000,51-200,Series A,ellevest.com,4.542465753,9818455.971,1,1,125,21100,1106
2/1/2014,Startup,https://angel.co/company/elliptic,London,Law Enforcement,Elliptic,,7000000,Nov-50,Series A,elliptic.co,5.871232877,1192253.85,1,0,25,5298,847
10/1/2015,Startup,https://angel.co/company/emarsys-1,Indianapolis,,Emarsys,,33000000,501-1000,Series A,emarsys.com,4.208219178,7841796.875,1,1,750,0,0
7/1/2012,Startup,https://angel.co/company/ematic-solutions,Singapore,Social Media,Ematic Solutions,,2060000,51-200,Seed,ematicsolutions.com,7.460273973,276129.2692,1,0,125,143,116
3/1/2016,Startup,https://angel.co/company/embedded-brand,San Francisco,Mobile Advertising,Embedded Brand,,100000,,Seed,embeddedbrand.com,3.791780822,26372.83237,0,0,,0,0
10/1/2013,Startup,https://angel.co/company/embrace-mobile,Oxford,,Embrace Mobile,,500000,10-Jan,Seed,web.archive.org,6.208219178,80538.39365,0,0,5,0,0
11/1/2013,Startup,https://angel.co/company/getsmily,-,User Testing,Emolytics,,786000,10-Jan,Seed,emolytics.com,6.123287671,128362.4161,0,0,5,2767,4412
6/1/2013,Startup,https://angel.co/company/empeopled,Chicago,Ad Targeting,Empeopled,,500000,10-Jan,Seed,empeopled.com,6.542465753,76423.78559,0,0,5,0,0
11/1/2013,Startup,https://angel.co/company/empower-realty,Minneapolis,Real Estate Investors,Empower Realty,,1776808,10-Jan,Seed,EmpowerRealty.com,6.123287671,290172.2237,0,0,5,0,0
2/1/2015,Startup,https://angel.co/company/emprego-ligado,São Paulo,Employment,Emprego Ligado,,7000000,Nov-50,Series A,empregoligado.com.br,4.871232877,1437007.874,1,0,25,438,129
11/1/2012,Startup,https://angel.co/company/encorealert,San Francisco,Machine Learning,Encore,,987000,10-Jan,Seed,encorehq.com,7.123287671,138559.6154,0,0,5,0,0
4/1/2015,Startup,https://angel.co/company/encryptedlabs,Charlotte,Finance Technology,Encrypted Labs,,350000,Nov-50,Seed,Encryptedlabs.com,4.709589041,74316.46306,0,0,25,1857,1488
6/1/2013,Startup,https://angel.co/company/energydeck,London,Energy Efficiency,EnergyDeck,,897350,Nov-50,Seed,energydeck.com,6.542465753,137157.768,0,0,25,0,0
12/1/2012,Startup,https://angel.co/company/enertiv,New York City,Big Data Analytics,Enertiv,,4290000,Nov-50,Seed,enertiv.com,7.04109589,609280.1556,1,0,25,1592,1912
4/1/2015,Startup,https://angel.co/company/enki,San Francisco,Training,Enki,,1500000,Nov-50,Seed,enki.com,4.709589041,318499.1274,0,0,25,3314,78
10/1/2014,Startup,https://angel.co/company/enlightiks,Palo Alto,Predictive Analytics,Enlightiks,,935000,Nov-50,Seed,enlightiks.com,5.208219178,179523.9348,0,0,25,0,0
11/1/2013,Startup,https://angel.co/company/entac-medical,Memphis,Medical Devices,Entac Medical,,830000,10-Jan,Series A,entacmedical.com,6.123287671,135548.0984,0,0,5,0,0
4/1/2013,Startup,https://angel.co/company/entrenaya,Buenos Aires Province,Fitness,EntrenaYa,,50000,10-Jan,Seed,entrenaya.com,6.709589041,7452.021233,0,0,5,2916,2930
2/1/2015,Startup,https://angel.co/company/envoy-helloenvoy,San Francisco,E-Commerce Platforms,Envoy - HelloEnvoy,,3000000,10-Jan,Seed,helloenvoy.com,4.871232877,615860.5174,1,0,5,289,283
4/1/2015,Startup,https://angel.co/company/epifinder,Scottsdale,SaaS,EpiFinder,,53000,Nov-50,Seed,epifinder.com,4.709589041,11253.63583,0,0,25,481,1048
5/1/2017,Startup,https://angel.co/company/soma-games,Newberg,Kids,Epic Tales of Redwall,,750000,Nov-50,Seed,somagames.com,2.624657534,285751.5658,0,0,25,0,0
1/1/2014,Startup,https://angel.co/company/episona,Los Angeles,Medical Devices,Episona,,1375000,10-Jan,Seed,episona.com,5.956164384,230853.2659,0,0,5,0,0
2/1/2014,Startup,https://angel.co/company/equafy,Sofia,Web Development,Equafy,,175000,10-Jan,Seed,equafy.com,5.871232877,29806.34624,0,0,5,92,19
2/1/2016,Startup,https://angel.co/company/erle-robotics-s-l,Vitoria-Gasteiz,Robotics,Erle Robotics S.L.,,220000,10-Jan,Seed,erlerobotics.com,3.871232877,56829.44091,0,0,5,0,0
4/1/2013,Startup,https://angel.co/company/escapaide-travel,Austin,Hotels,Escapaide Travel,,85000,-,Seed,escapaide.com,6.709589041,12668.4361,0,0,,0,0
1/1/2014,Startup,https://angel.co/company/esprit-health,Texas,Healthcare,Esprit-Health,,5000000,10-Jan,Series A,,5.956164384,839466.4213,1,0,5,0,0
4/1/2014,Startup,https://angel.co/company/essential-man,Los Angeles,Mobile Commerce,EssentialMan.com,,400000,10-Jan,Seed,essentialman.com,5.709589041,70057.58157,0,0,5,0,0
6/1/2013,Startup,https://angel.co/company/estify,Los Angeles,SaaS,Estify,,8600000,10-Jan,Seed,estify.com,6.542465753,1314489.112,1,0,5,0,0
4/1/2011,Startup,https://angel.co/company/estimize,New York City,Crowdsourcing,Estimize,,8600000,Nov-50,Series A,estimize.com,8.712328767,987106.9182,1,0,25,7476,244
8/1/2013,Startup,https://angel.co/company/eterniam,Seattle,Data Security,Eterniam,,100000,10-Jan,Seed,eterniam.com,6.375342466,15685.43189,0,0,5,58,327
10/1/2014,Startup,https://angel.co/company/eumaco-maniacs,Dubai,Mobile,Eumaco Maniacs,,100000,Nov-50,Seed,eumacomaniacs.com,5.208219178,19200.42083,0,0,25,0,0
3/1/2013,Startup,https://angel.co/company/event0-never-miss-an-event,Copenhagen,Social Media Platforms,Event0 - From Zero To Hero,,111000,10-Jan,Seed,event0.com,6.794520548,16336.69355,0,0,5,2686,1457
1/1/2014,Startup,https://angel.co/company/eventap,Santa Monica,iPhone,Eventap,,200000,10-Jan,Seed,eventap.me,5.956164384,33578.65685,0,0,5,482,365
8/1/2012,Startup,https://angel.co/company/eventifier,Bengaluru,Events,Eventifier,,500000,10-Jan,Seed,eventifier.com,7.375342466,67793.46211,0,0,5,2141,1010
1/1/2011,Startup,https://angel.co/company/evercontact-1,Paris,SaaS,Evercontact,,770000,Nov-50,Seed,evercontact.com,8.95890411,85948.01223,0,0,25,6938,2875
4/1/2018,Startup,https://angel.co/company/everest-education,Ho Chi Minh City,Vietnam,Everest Education,,1400000,51-200,Series A,e2.com.vn,1.706849315,820224.7191,0,0,125,0,0
7/1/2011,Startup,https://angel.co/company/evergram,San Francisco,Messaging,Evergram,,2400000,10-Jan,Series A,evergram.com,8.463013699,283586.9213,1,0,5,625,1177
7/1/2012,Startup,https://angel.co/company/everlaw,Berkeley,Legal,Everlaw,,9605000,Nov-50,Series A,everlaw.com,7.460273973,1287486.228,1,0,25,3965,4321
10/1/2015,Startup,https://angel.co/company/everlywell,Austin,Diagnostics,EverlyWell,,3000000,Nov-50,Seed,everlywell.com,4.208219178,712890.625,1,0,25,7417,2009
7/1/2012,Startup,https://angel.co/company/evermind,Nashville,Consumer Electronics,Evermind,,7100000,10-Jan,Series A,evermind.us,7.460273973,951707.6754,1,0,5,583,1791
3/1/2013,Startup,https://angel.co/company/everplans,New York City,Personal Health,Everplans,,11920002,Nov-50,Seed,everplans.com,6.794520548,1754355.133,1,0,25,1169,868
6/1/2017,Startup,https://angel.co/company/everythink,San Francisco,Data Center Automation,Everythink,,200000,Nov-50,Seed,everythink.ai,2.539726027,78748.65156,0,0,25,0,0
5/1/2013,Startup,https://angel.co/company/evidation,San Mateo,Big Data,Evidation Health,,27200000,51-200,Series A,evidation.com,6.62739726,4104175.279,1,1,125,2547,243
4/1/2014,Startup,https://angel.co/company/evident-io,Dublin,Risk Management,Evident.io,,27050000,Nov-50,Series A,evident.io,5.709589041,4737643.954,1,1,25,0,0
5/1/2014,Startup,https://angel.co/company/execonline,San Francisco,B2B,ExecOnline,,6910000,51-200,Series A,execonline.com,5.62739726,1227921.13,1,0,125,423,456
12/1/2012,Startup,https://angel.co/company/exiles,San Francisco,Bridging Online and Offline,Exiles,,425000,10-Jan,Seed,exiles-inc.com,7.04109589,60359.92218,0,0,5,0,0
7/1/2012,Startup,https://angel.co/company/exotel,Bengaluru,B2B,Exotel,,500000,51-200,Seed,exotel.com,7.460273973,67021.66728,0,0,125,2608,970
8/1/2015,Startup,https://angel.co/company/exoticlengthz-1,New York City,Custom Retail,ExoticLengthz,,20000,10-Jan,Seed,exoticlengthz.com,4.375342466,4571.070758,0,0,5,0,0
1/1/2016,Startup,https://angel.co/company/experimental-game,Berlin,TV Production,Experimental Game,,1110000,Nov-50,Seed,gamebook.io,3.956164384,280574.7922,0,0,25,0,0
2/1/2013,Startup,https://angel.co/company/expertfile,Boston,SaaS,ExpertFile,,3225000,10-Jan,Seed,expertfile.com,6.871232877,469348.0861,1,0,5,8691,5276
9/1/2014,Startup,https://angel.co/company/expii,Pittsburgh,Edutainment,Expii,,1310000,Nov-50,Seed,expii.com,5.290410959,247617.8146,0,0,25,1489,1010
4/1/2014,Startup,https://angel.co/company/extraaedge-com,Chandigarh,Sales Automation,ExtraaEdge,,266000,Nov-50,Seed,extraaedge.com,5.709589041,46588.29175,0,0,25,88,214
9/1/2013,Startup,https://angel.co/company/ezyinsights,Helsinki,Journalism,EzyInsights,,808620,10-Jan,Seed,ezyinsights.com,6.290410959,128548.0401,0,0,5,1013,1499
9/1/2013,Startup,https://angel.co/company/facturama,Mexico City,Accounting,FACTURAMA,,320000,Nov-50,Seed,facturama.mx,6.290410959,50871.08014,0,0,25,550,893
8/1/2013,Startup,https://angel.co/company/fashory,Shanghai,Mobile Commerce,FASHORY,,250000,10-Jan,Seed,bit.ly,6.375342466,39213.57972,0,0,5,119,784
5/1/2015,Startup,https://angel.co/company/filld,San Francisco,Local Services,FILLD,,12900000,Nov-50,Series A,filld.com,4.62739726,2787744.227,1,1,25,637,209
1/1/2016,Startup,https://angel.co/company/fitpass-2,Delhi,Fitness,FITPASS,,1000000,Nov-50,Seed,fitpass.co.in,3.956164384,252770.0831,0,0,25,2196,413
3/1/2013,Startup,https://angel.co/company/forvm,San Francisco,Lead Generation,FORVM,,642000,10-Jan,Seed,forvm.com,6.794520548,94487.90323,0,0,5,8,266
2/1/2017,Startup,https://angel.co/company/fossa,San Francisco,Developer Tools,FOSSA,,11200000,Nov-50,Series A,fossa.com,2.868493151,3904489.016,1,0,25,489,455
9/1/2015,Startup,https://angel.co/company/fr8,Chennai,Logistics,FR8,,971000,Nov-50,Seed,fr8.in,4.290410959,226318.6462,0,0,25,0,0
9/1/2014,Startup,https://angel.co/company/frisky,New York City,Music Services,FRISKY,,300000,10-Jan,Seed,frisky.fm,5.290410959,56706.36976,0,0,5,13900,1563
8/1/2015,Startup,https://angel.co/company/fabogo,Dubai,Reviews and Recommendations,Fabogo,,1500000,Nov-50,Seed,fabogo.com,4.375342466,342830.3068,0,0,25,310,309
6/1/2015,Startup,https://angel.co/company/factivate,Durham,Digital,Factivate,,420000,10-Jan,Seed,factivate.com,4.542465753,92460.79614,0,0,5,183,317
4/1/2013,Startup,https://angel.co/company/fan-labz,San Francisco,Fantasy Sports,Fan Labz,,70000,10-Jan,Seed,fanlabz.com,6.709589041,10432.82973,0,0,5,0,0
2/1/2012,Startup,https://angel.co/company/gaga-sports-entertainment,San Rafael,Lead Generation,FanCompass,,1950000,10-Jan,Seed,fancompass.com,7.873972603,247651.357,0,0,5,1362,855
12/1/2013,Startup,https://angel.co/company/fandrafter-1,San Mateo,Fantasy Sports,FanDrafter,,120637,10-Jan,Seed,fandrafter.com,6.04109589,19969.39002,0,0,5,315,967
1/1/2014,Startup,https://angel.co/company/fanmob,Los Angeles,Content Discovery,FanMob,,205000,10-Jan,Seed,fanmob.us,5.956164384,34418.12328,0,0,5,230,267
6/1/2015,Startup,https://angel.co/company/fanzcall-1,Boston,Fantasy Sports,FanZcall Media,,250000,Nov-50,Seed,fanzcall.com,4.542465753,55036.18818,0,0,25,2223,690
8/1/2012,Startup,https://angel.co/company/fancred,Boston,Communities,Fancred,,4500000,10-Jan,Seed,fancred.com,7.375342466,610141.159,1,0,5,8170,1171
10/1/2013,Startup,https://angel.co/company/fandium,Chicago,iPhone,Fandium,,1250000,10-Jan,Seed,Fandium.com,6.208219178,201345.9841,0,0,5,510,1841
7/1/2015,Startup,https://angel.co/company/fanisko,Santa Clara,Gamification,Fanisko,,950000,Nov-50,Seed,fanisko.com,4.460273973,212991.4005,0,0,25,77,78
3/1/2013,Startup,https://angel.co/company/fannect,Kansas City,Gamification,Fannect,,304000,10-Jan,Seed,fannect.me,6.794520548,44741.93548,0,0,5,5542,6387
4/1/2013,Startup,https://angel.co/company/fanplayr,Palo Alto,SaaS,Fanplayr,,8316413,Nov-50,Series A,fanplayr.com,6.709589041,1239481.725,1,0,25,0,0
2/1/2015,Startup,https://angel.co/company/fantasurf,San Diego,Fantasy Sports,Fantasurf,,20000,10-Jan,Seed,fantasurf.com,4.871232877,4105.736783,0,0,5,153,579
12/1/2013,Startup,https://angel.co/company/fantasyhub,Austin,Fantasy Sports,FantasyHub,,338000,10-Jan,Seed,fantasyhub.com,6.04109589,55950.11338,0,0,5,3487,671
5/1/2013,Startup,https://angel.co/company/fantasytech,Denver,Fantasy Sports,FantasyTech,,70000,10-Jan,Seed,fantasytechllc.com,6.62739726,10562.21579,0,0,5,271,514
9/1/2011,Startup,https://angel.co/company/fanwards,Buenos Aires Province,Loyalty Programs,Fanwards,,250000,,Seed,fanwards.com,8.293150685,30145.35844,0,0,,206,75
6/1/2013,Startup,https://angel.co/company/far-gone-books,Vancouver,E-Books,Far Gone Books,,25000,10-Jan,Seed,fargonebooks.com,6.542465753,3821.18928,0,0,5,538,1489
3/1/2013,Startup,https://angel.co/company/faraday,Burlington,Home Renovation,Faraday,,880000,10-Jan,Series A,faraday.io,6.794520548,129516.129,0,0,5,0,0
8/1/2013,Startup,https://angel.co/company/farm-at-hand,Vancouver,Enterprise Resource Planning,Farm At Hand,,1400000,10-Jan,Seed,farmathand.com,6.375342466,219596.0464,0,0,5,6914,4329
3/1/2014,Startup,https://angel.co/company/farm-hill,Redwood City,Mobile Commerce,Farm Hill,,3000000,51-200,Seed,farmhill.com,5.794520548,517730.4965,1,0,125,338,641
12/1/2013,Startup,https://angel.co/company/fastr,Boston,Mobile Commerce,Fastr,,350000,10-Jan,Seed,getfastr.co,6.04109589,57936.50794,0,0,5,0,0
6/1/2013,Startup,https://angel.co/company/fauna,Remote,Databases,Fauna,,4500000,Nov-50,Seed,fauna.com,6.542465753,687814.0704,1,0,25,58200,1050
7/1/2012,Startup,https://angel.co/company/feathr,Gainesville,Events,Feathr,,2343000,51-200,Series A,feathr.co,7.460273973,314063.5329,1,0,125,8446,4412
5/1/2013,Startup,https://angel.co/company/feehound-1,Cleveland,Governments,FeeHound,,27250,10-Jan,Seed,feehound.com,6.62739726,4111.719719,0,0,5,4,4
8/1/2014,Startup,https://angel.co/company/feedinity-co,Warsaw,Universities,Feedinity.co,,200000,10-Jan,Seed,feedback.edu.pl,5.375342466,37206.9317,0,0,5,0,0
2/1/2015,Startup,https://angel.co/company/feel-three,London,Virtual Reality,Feel Three,,100000,10-Jan,Seed,feelthree.com,4.871232877,20528.68391,0,0,5,79300,78700
7/1/2014,Startup,https://angel.co/company/femonoe,San Francisco,Big Data,Femonoe,,45000,10-Jan,Seed,femonoe.com,5.460273973,8241.344706,0,0,5,146,230
1/1/2014,Startup,https://angel.co/company/fenestrapro,Dublin,Sustainability,FenestraPro,,102000,10-Jan,Seed,fenestrapro.com,5.956164384,17125.115,0,0,5,629,1710
5/1/2013,Startup,https://angel.co/company/fieldwire,San Francisco,Construction,Fieldwire,,6600000,51-200,Series A,fieldwire.com,6.62739726,995866.0604,1,0,125,11800,8370
3/1/2013,Startup,https://angel.co/company/you-app,Helsinki,B2B,Fifth Corner Inc.,,550000,10-Jan,Seed,fifthcornerinc.com,6.794520548,80947.58065,0,0,5,0,0
7/1/2014,Startup,https://angel.co/company/figtree-technology,Philadelphia,Social Media Platforms,FigTree Technology,,30000000,10-Jan,Series A,figtreetechnology.com,5.460273973,5494229.804,1,1,5,0,0
11/1/2013,Startup,https://angel.co/company/filelife,Redding,Legal,FileLife,,1200000,10-Jan,Seed,web.filelife.com,6.123287671,195973.1544,0,0,5,0,0
8/1/2013,Startup,https://angel.co/company/filestring,Santa Cruz,File Sharing,FileString,,2250000,51-200,Seed,filestring.com,6.375342466,352922.2174,1,0,125,0,0
1/1/2016,Startup,https://angel.co/company/filmhub,Santa Monica,Content Delivery,Filmhub,,450000,10-Jan,Seed,filmhubhq.com,3.956164384,113746.5374,0,0,5,2755,2382
6/1/2013,Startup,https://angel.co/company/crowdnetic-2,New York City,P2P Money Transfer,FinMkt,,1900000,Nov-50,Seed,finmkt.io,6.542465753,290410.3853,0,0,25,2759,615
2/1/2013,Startup,https://angel.co/company/find-your-lobster,New York City,Mobile Games,Find Your Lobster,,185000,10-Jan,Seed,findyourlobster.com,6.871232877,26923.8437,0,0,5,47,31
3/1/2012,Startup,https://angel.co/company/findhire-1,Los Angeles,Social Recruiting,FindHire,,100000,10-Jan,Seed,findhire.com,7.794520548,12829.52548,0,0,5,1541,0
6/1/2013,Startup,https://angel.co/company/findyogi,Bengaluru,Comparison Shopping,FindYogi,,100000,10-Jan,Seed,findyogi.com,6.542465753,15284.75712,0,0,5,4606,5105
2/1/2016,Startup,https://angel.co/company/finexio,Orlando,Legal,Finexio,,2000000,Nov-50,Seed,finexio.com,3.871232877,516631.281,0,0,25,322,999
6/1/2013,Startup,https://angel.co/company/finexkap,Paris,Credit,Finexkap,,8500000,10-Jan,Series A,finexkap.com,6.542465753,1299204.355,1,0,5,7455,57
11/1/2013,Startup,https://angel.co/company/firepaperapp-1,Cape Town,Education,Firepaperapp,,7500,10-Jan,Seed,firepaperapp.com,6.123287671,1224.832215,0,0,5,445,482
3/1/2014,Startup,https://angel.co/company/firstaccess,Dar es Salaam,Emerging,First Access,,2250000,Nov-50,Seed,firstaccessmarket.com,5.794520548,388297.8723,1,0,25,1032,885
8/1/2013,Startup,https://angel.co/company/firstjob-me,Santiago,College Recruiting,FirstJob.me,,190000,10-Jan,Seed,firstjob.me,6.375342466,29802.32058,0,0,5,7476,6813
11/1/2011,Startup,https://angel.co/company/firsthand,New York City,Edtech,Firsthand,,3160000,10-Jan,Seed,firsthand.co,8.126027397,388873.9042,1,0,5,1124,1067
2/1/2013,Startup,https://angel.co/company/fit3d,San Mateo,Fitness,Fit3D,,5390000,Nov-50,Seed,fit3d.com,6.871232877,784429.8246,1,0,25,1447,3937
3/1/2015,Startup,https://angel.co/company/fitdel,Austin,Fitness,FitDel,,984000,10-Jan,Seed,fitdel.com,4.794520548,205234.2857,0,0,5,2531,3682
4/1/2014,Startup,https://angel.co/company/fitgofun,San Francisco,Fitness,FitGoFun,,575000,10-Jan,Seed,FitGoFun.com,5.709589041,100707.7735,0,0,5,0,0
10/1/2015,Startup,https://angel.co/company/fitbod,San Francisco,Fitness,Fitbod,,645000,Nov-50,Seed,fitbod.me,4.208219178,153271.4844,0,0,25,3078,89
12/1/2012,Startup,https://angel.co/company/fitness-massive,Los Angeles,Bridging Online and Offline,Fitness Massive,,35000,-,Seed,fitnessmassive.com,7.04109589,4970.817121,0,0,,287,206
1/1/2014,Startup,https://angel.co/company/fitplan-technologies-inc,Vancouver,Fitness,Fitplan,,2125000,Nov-50,Seed,fitplanapp.com,5.956164384,356773.2291,1,0,25,9217,3280
12/1/2012,Startup,https://angel.co/company/fixit,San Francisco,Mobile Commerce,Fixit,,30000,10-Jan,Seed,fixit.im,7.04109589,4260.700389,0,0,5,0,0
5/1/2014,Startup,https://angel.co/company/flareworks-flares,San Francisco,Location Based Services,FlareWorks (Flares),,610000,10-Jan,Seed,flaresapp.com,5.62739726,108398.2473,0,0,5,0,0
6/1/2012,Startup,https://angel.co/company/flashcast-ventures,Nairobi,Transportation,FlashCast Ventures,,30000,10-Jan,Seed,flashca.st,7.542465753,3977.479114,0,0,5,294,673
8/1/2014,Startup,https://angel.co/company/flashbackr,London,Productivity Software,Flashbackr,,41500,10-Jan,Seed,flashbackr.com,5.375342466,7720.438328,0,0,5,940,823
6/1/2014,Startup,https://angel.co/company/flatpyramid-1,Los Angeles,Augmented Reality,FlatPyramid,,500000,10-Jan,Seed,flatpyramid.com,5.542465753,90212.55561,0,0,5,2700,69
9/1/2012,Startup,https://angel.co/company/flatiron-health,New York City,Health Care Information Technology,Flatiron Health,,328000000,501-1000,Series A,flatiron.com,7.290410959,44990605.04,1,1,750,9573,449
2/1/2014,Startup,https://angel.co/company/fleaffair-1,Delhi,Jewelry,FleAffair,,10000,10-Jan,Seed,Website,5.871232877,1703.219785,0,0,5,372,13
7/1/2013,Startup,https://angel.co/company/flinto,Chennai,Edutainment,Flintobox,,335000,Nov-50,Seed,flintobox.com,6.460273973,51855.38592,0,0,25,0,0
4/1/2014,Startup,https://angel.co/company/flipcause,Oakland,Nonprofits,Flipcause,,3500000,Nov-50,Seed,flipcause.com,5.709589041,613003.8388,1,0,25,2348,2619
5/1/2013,Startup,https://angel.co/company/fliplet,London,Apps,Fliplet,,757200,Nov-50,Seed,fliplet.com,6.62739726,114252.9971,0,0,25,1933,2126
4/1/2012,Startup,https://angel.co/company/flixel-photos,Toronto,Video Editing,Flixel Photos,,2200000,Nov-50,Seed,flixel.com,7.709589041,285358.9197,1,0,25,7970,2717
1/1/2017,Startup,https://angel.co/company/flo-by-owhealth,Redwood City,Fertility,Flo Health,,13000000,51-200,Series A,flo.health,2.953424658,4401669.759,1,1,125,1314,813
1/1/2013,Startup,https://angel.co/company/floating-apps,New York City,B2B,Floating Apps,,500000,10-Jan,Seed,floatingapps.com,6.956164384,71878.6924,0,0,5,231,734
5/1/2012,Startup,https://angel.co/company/floodlight,San Francisco,Mobile Advertising,Floodlight,,500000,10-Jan,Seed,floodlight.io,7.62739726,65553.16092,0,0,5,765,1863
3/1/2013,Startup,https://angel.co/company/flooved,London,Open Source,Flooved,,600000,Nov-50,Seed,flooved.com,6.794520548,88306.45161,0,0,25,497,150
9/1/2012,Startup,https://angel.co/company/floqq,San Francisco,Peer-to-Peer,Floqq,,925000,Nov-50,Seed,floqq.com,7.290410959,126878.9929,0,0,25,11500,7883
3/1/2016,Startup,https://angel.co/company/flow-io,Hoboken,B2B,Flow.io,,18500000,Nov-50,Series A,flow.io,3.791780822,4878973.988,1,1,25,0,0
10/1/2015,Startup,https://angel.co/company/flowics,Buenos Aires Province,South East Asia,Flowics,,1000000,Nov-50,Seed,flowics.com,4.208219178,237630.2083,0,0,25,2349,787
2/1/2015,Startup,https://angel.co/company/fluent-city,New York City,Language Learning,Fluent City,,5500000,51-200,Series A,fluentcity.com,4.871232877,1129077.615,1,0,125,2553,1439
10/1/2011,Startup,https://angel.co/company/flydata,Sunnyvale,Data Integration,FlyData,,8955000,Nov-50,Series A,flydata.com,8.210958904,1090615.616,1,0,25,630,1464
2/1/2014,Startup,https://angel.co/company/flypaper-io,Seattle,Big Data,FlyPaper.io,,360000,10-Jan,Seed,flypaper.io,5.871232877,61315.91227,0,0,5,10,36
5/1/2014,Startup,https://angel.co/company/flyplyst,Shreveport,Loyalty Programs,Flyplyst,,100000,10-Jan,Seed,flyplyst.com,5.62739726,17770.20448,0,0,5,204,1229
3/1/2013,Startup,https://angel.co/company/flyreel,Denver,Insurance,Flyreel,,3850000,10-Jan,Seed,flyreel.com,6.794520548,566633.0645,1,0,5,266,1037
7/1/2013,Startup,https://angel.co/company/folsom-labs,San Francisco,Renewable Energies,Folsom Labs,,1350000,10-Jan,Seed,folsomlabs.com,6.460273973,208969.4656,0,0,5,443,74
3/1/2012,Startup,https://angel.co/company/fondinc,San Francisco,Discounts,Fond,,12950000,Nov-50,Series A,fond.co,7.794520548,1661423.55,1,1,25,2163,1105
12/1/2014,Startup,https://angel.co/company/foodcircles,Grand Rapids,Restaurants,FoodCircles,,67000,-,Seed,joinfoodcircles.org,5.04109589,13290.76087,0,0,,0,0
5/1/2014,Startup,https://angel.co/company/foosler,Vancouver,Mobile Games,Foosler,,20000,10-Jan,Seed,foosler.com,5.62739726,3554.040896,0,0,5,0,0
6/1/2013,Startup,https://angel.co/company/fora,Waterloo,East Africa,Fora,,137000,10-Jan,Seed,fora.co,6.542465753,20940.11725,0,0,5,0,0
11/1/2013,Startup,https://angel.co/company/foraycollective,Boston,Influencer,Foray Collective,,150000,10-Jan,Seed,foraycollective.com,6.123287671,24496.6443,0,0,5,0,0
3/1/2012,Startup,https://angel.co/company/formafina,Los Angeles,Women's Apparel And Accessories,FormaFina,,1400000,Nov-50,Seed,formafina.com,7.794520548,179613.3568,0,0,25,0,0
11/1/2013,Startup,https://angel.co/company/formation-data-systems-1,Fremont,Cloud Infrastructure,Formation Data Systems,,18200000,Nov-50,Series A,formationds.com,6.123287671,2972259.508,1,1,25,1882,126
12/1/2013,Startup,https://angel.co/company/formisimo,Manchester,Big Data,Formisimo,,767660,Nov-50,Seed,formisimo.com,6.04109589,127072.9705,0,0,25,3270,1393
4/1/2014,Startup,https://angel.co/company/fountain-greetings,New York City,Mobile Commerce,Fountain,,25000,10-Jan,Seed,fountaingreetings.com,5.709589041,4378.598848,0,0,5,0,0
8/1/2013,Startup,https://angel.co/company/fourkites,Chicago,Supply Chain Management,FourKites,,14250000,10-Jan,Series A,fourkites.com,6.375342466,2235174.044,1,1,5,7377,7216
12/1/2013,Startup,https://angel.co/company/frasen,Seoul,Wearables,FraSen,,506446,10-Jan,Seed,frasen.com,6.04109589,83833.46485,0,0,5,235,936
11/1/2012,Startup,https://angel.co/company/framehq,San Mateo,Application Platforms,Frame,,28500000,51-200,Series A,fra.me,7.123287671,4000961.538,1,1,125,2129,3784
8/1/2014,Startup,https://angel.co/company/frankly-me,Delhi,Mobile Video,FranklyMe,,600000,51-200,Seed,frankly.me,5.375342466,111620.7951,0,0,125,3088,79
10/1/2015,Startup,https://angel.co/company/freedcamp,San Francisco,Messaging,Freedcamp,,604000,10-Jan,Seed,freedcamp.com,4.208219178,143528.6458,0,0,5,2201,312
3/1/2015,Startup,https://angel.co/company/frdm,Durham,Productivity Software,Freedom,,396000,Nov-50,Seed,freedom.to,4.794520548,82594.28571,0,0,25,3902,556
5/1/2012,Startup,https://angel.co/company/frequency,Los Angeles,Video Streaming,Frequency,,3000000,Nov-50,Series A,frequency.com,7.62739726,393318.9655,1,0,25,6916,2000
10/1/2012,Startup,https://angel.co/company/fresh,San Francisco,Crowdfunding,Fresh,,9200000,Nov-50,Seed,getfresh.com,7.208219178,1276320.791,1,0,25,1047,216
6/1/2016,Startup,https://angel.co/company/fresh-relevance,London,Personalization,Fresh Relevance,,2660000,Nov-50,Series A,freshrelevance.com,3.539726027,751470.5882,1,0,25,6893,6564
