joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
8/1/2015,Startup,https://angel.co/company/apervita,Chicago,,Apervita,,18000000,,Series A,apervita.com,4.375342466,4113963.682,1,1,,895,752
12/1/2012,Startup,https://angel.co/company/apozy,San Francisco,Enterprise Security,Apozy,,1400000,10-Jan,Seed,apozy.com,7.04109589,198832.6848,0,0,5,322,922
6/1/2013,Startup,https://angel.co/company/appcell-mobile-advertising-solutions,Hod Hasharon,Mobile Advertising,AppCell Mobile Advertising Solutions,,60000,10-Jan,Seed,appcellads.com,6.542465753,9170.854271,0,0,5,11,10
4/1/2015,Startup,https://angel.co/company/appfollow,Helsinki,Mobile Games,AppFollow,,2075000,51-200,Seed,appfollow.io,4.709589041,440590.4596,1,0,125,2389,1384
1/1/2013,Startup,https://angel.co/company/appgeek,Toronto,iPhone,AppGeek,,15000,10-Jan,Seed,appgk.com,6.956164384,2156.360772,0,0,5,54,79
2/1/2015,Startup,https://angel.co/company/applift-1,Berlin,Mobile Advertising,AppLift,,20000000,201-500,Series A,applift.com,4.871232877,4105736.783,1,1,350,4834,2209
1/1/2017,Startup,https://angel.co/company/apponboard,Los Angeles,Mobile,AppOnboard,,34000000,51-200,Seed,apponboard.com,2.953424658,11512059.37,1,1,125,3534,234
3/1/2014,Startup,https://angel.co/company/appscotch,San Francisco,Mobile Advertising,AppScotch,,700000,10-Jan,Seed,appscotch.com,5.794520548,120803.7825,0,0,5,0,0
9/1/2014,Startup,https://angel.co/company/appsheet,Seattle,Developer Tools,AppSheet,,17015000,Nov-50,Series A,appsheet.com,5.290410959,3216196.271,1,1,25,2256,541
3/1/2012,Startup,https://angel.co/company/appsurfer,San Francisco,App Stores,AppSurfer,,200000,10-Jan,Seed,appsurfer.com,7.794520548,25659.05097,0,0,5,309,274
1/1/2015,Startup,https://angel.co/company/appetizr,New York City,Food and Beverages,Appetizr,,125000,10-Jan,Seed,helloappetizr.com,4.956164384,25221.11664,0,0,5,6,34
2/1/2014,Startup,https://angel.co/company/appinions-1,New York City,Social Media,Appinions,,5600000,Nov-50,Series A,appinions.com,5.871232877,953803.0798,1,0,25,0,0
4/1/2012,Startup,https://angel.co/company/applicasa,-,Developer Tools,Applicasa,,1000000,10-Jan,Seed,applicasa.com,7.709589041,129708.5999,0,0,5,224,41
6/1/2014,Startup,https://angel.co/company/appoet,Chicago,Mobile Advertising,Appoet,,20000,10-Jan,Seed,infused.today,5.542465753,3608.502224,0,0,5,353,671
9/1/2013,Startup,https://angel.co/company/apps4pro,Tours,SaaS,Apps4Pro,,200000,10-Jan,Seed,apps4pro.com,6.290410959,31794.42509,0,0,5,0,0
3/1/2012,Startup,https://angel.co/company/appsembler,Seattle,Open Source,Appsembler,,118000,Nov-50,Seed,appsembler.com,7.794520548,15138.84007,0,0,25,630,1305
4/1/2011,Startup,https://angel.co/company/appsfire,Paris,Mobile Advertising,Appsfire,,4600000,Nov-50,Series A,appsfire.com,8.712328767,527987.4214,1,0,25,23700,740
6/1/2012,Startup,https://angel.co/company/apptimate,Lund,Application Platforms,Apptimate,,185000,10-Jan,Seed,apptimate.io,7.542465753,24527.78787,0,0,5,0,0
5/1/2012,Startup,https://angel.co/company/apptopia,Boston,Big Data Analytics,Apptopia,,6005000,51-200,Seed,apptopia.com,7.62739726,787293.4626,1,0,125,5407,2675
2/1/2013,Startup,https://angel.co/company/appuri,Seattle,SaaS,Appuri,,2375000,Nov-50,Seed,appuri.com,6.871232877,345643.9394,1,0,25,0,0
6/1/2014,Startup,https://angel.co/company/apropose,Mountain View,Web Design,Apropose,,1875000,10-Jan,Seed,apropose.com,5.542465753,338297.0835,0,0,5,2,0
1/1/2014,Startup,https://angel.co/company/arangodb,San Francisco,Open Source,ArangoDB,,19169006,51-200,Series A,arangodb.com,5.956164384,3218347.374,1,1,125,13000,1202
8/1/2016,Startup,https://angel.co/company/arcadia_io,Burlington,Big Data,Arcadia.io,,43000000,201-500,Series A,arcadiasolutions.com,3.37260274,12749796.91,1,1,350,0,0
5/1/2013,Startup,https://angel.co/company/architizer,New York City,Product Search,Architizer,,10500000,Nov-50,Series A,architizer.com,6.62739726,1584332.369,1,0,25,1100000,2349
9/1/2013,Startup,https://angel.co/company/archively,San Francisco,Social CRM,Archively,,297000,10-Jan,Seed,archively.com,6.290410959,47214.72125,0,0,5,680,883
3/1/2012,Startup,https://angel.co/company/arcus,New York City,Developer APIs,Arcus,,17100000,51-200,Series A,arcusfi.com,7.794520548,2193848.858,1,1,125,835,434
9/1/2011,Startup,https://angel.co/company/argus-insights,Los Gatos,Predictive Analytics,Argus Insights,,200000,10-Jan,Seed,argusinsights.com,8.293150685,24116.28675,0,0,5,634,880
10/1/2013,Startup,https://angel.co/company/aries-tco-1,Palm Beach Gardens,Small and Medium Businesses,Aries TCO,,360000,10-Jan,Series A,ariestco.com,6.208219178,57987.64342,0,0,5,215,447
8/1/2016,Startup,https://angel.co/company/array-analytics-1,Philadelphia,Health Care Information Technology,Array Analytics,,3000000,Nov-50,Seed,pivotal.co,3.37260274,889520.7149,1,0,25,66,120
8/1/2014,Startup,https://angel.co/company/arrive-1,San Francisco,Small and Medium Businesses,Arrive,,102000,10-Jan,Seed,getarrive.com,5.375342466,18975.53517,0,0,5,0,0
3/1/2011,Startup,https://angel.co/company/artoo,Bengaluru,Small and Medium Businesses,Artoo,,630000,Nov-50,Series A,artoo.com,8.797260274,71613.20461,0,0,25,638,361
4/1/2012,Startup,https://angel.co/company/artsly,-,Communities,Artsly,,175000,10-Jan,Seed,artsly.co,7.709589041,22699.00498,0,0,5,36,75
4/1/2012,Startup,https://angel.co/company/asaas,Joinville,Billing,Asaas,,250000,Nov-50,Seed,asaas.com,7.709589041,32427.14996,0,0,25,0,0
4/1/2012,Startup,https://angel.co/company/askfortask,Dubai,Location Based Services,AskforTask,,650000,51-200,Seed,askfortask.com,7.709589041,84310.58991,0,0,125,5508,7589
3/1/2013,Startup,https://angel.co/company/asseta,San Francisco,B2B,Asseta,,1535000,10-Jan,Seed,asseta.com,6.794520548,225917.3387,0,0,5,0,0
10/1/2013,Startup,https://angel.co/company/assistance-net,Arlington,Professional Services,Assistance.net,,40000,10-Jan,Seed,assistance.net,6.208219178,6443.071492,0,0,5,0,0
6/1/2013,Startup,https://angel.co/company/aston-club,Melbourne,Hospitality,Aston Club,,3000000,Nov-50,Seed,astonclub.com.au,6.542465753,458542.7136,1,0,25,207,571
8/1/2013,Startup,https://angel.co/company/astra-studio,Chelyabinsk,Mobile Games,Astra Studio,,200000,Nov-50,Seed,astrastudio.ru,6.375342466,31370.86377,0,0,25,0,0
11/1/2015,Startup,https://angel.co/company/astrotechnology,Palo Alto,SaaS,Astro Technology (acquired by Slack),,10000000,Nov-50,Series A,getastro.com,4.123287671,2425249.169,1,0,25,0,0
5/1/2013,Startup,https://angel.co/company/asuum,Berlin,Technology,Asuum,,730000,Nov-50,Seed,asuum.com,6.62739726,110148.8218,0,0,25,0,0
11/1/2013,Startup,https://angel.co/company/at-peak-resources,New York City,Teenagers,At Peak Resources,,500000,10-Jan,Seed,atpeaksports.com,6.123287671,81655.48098,0,0,5,0,0
9/1/2016,Startup,https://angel.co/company/atavium,Minneapolis,Cloud Computing,Atavium,,8650000,Nov-50,Series A,atavium.com,3.287671233,2631041.667,1,0,25,97,3
2/1/2015,Startup,https://angel.co/company/athena-network-solutions-llc-athenets,Tempe,Education,Athena Network Solutions LLC (Athenets),,200000,10-Jan,Seed,athenets.com,4.871232877,41057.36783,0,0,5,0,0
12/1/2014,Startup,https://angel.co/company/athenasoft,Sunnyvale,Certification Test,Athenasoft,,50000,10-Jan,Seed,athenasoft.co,5.04109589,9918.478261,0,0,5,88,12
10/1/2012,Startup,https://angel.co/company/athos,Redwood City,Fitness,Athos,,50700000,Nov-50,Seed,liveAthos.com,7.208219178,7033637.4,1,1,25,6864,2715
2/1/2015,Startup,https://angel.co/company/hsc-hub,Sydney,Edtech,Atomi,,1400000,Nov-50,Series A,getatomi.com,4.871232877,287401.5748,0,0,25,0,0
