,Unnamed: 0,joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
2276,2276,7/1/2015,Startup,https://angel.co/company/near-infrared-imaging,Wrentham,Healthcare,Near Infrared Imaging,,800000,-,Seed,nearinfraredimaging.com,4.460273973,179361.1794,0,0,,0,0
2278,2278,6/1/2012,Startup,https://angel.co/company/nearpod,Miami,K-12 Education,Nearpod,,10700000,51-200,Series A,nearpod.com,7.542465753,1418634.217,1,0,125,70.7K,"2,629"
2281,2281,9/1/2012,Startup,https://angel.co/company/neighborly,San Francisco,Impact Investing,Neighborly,,30500000,Nov-50,Series A,neighborly.com,7.290410959,4183577.602,1,1,25,"5,737",391
2283,2283,4/1/2014,Startup,https://angel.co/company/neoreach,San Francisco,Social Media,NeoReach,,3200000,Nov-50,Seed,neoreach.com,5.709589041,560460.6526,1,0,25,"2,705","2,593"
2284,2284,3/1/2012,Startup,https://angel.co/company/neonmob,San Francisco,,NeonMob,,2000000,10-Jan,Seed,neonmob.com,7.794520548,256590.5097,0,0,5,"3,097","2,071"
2286,2286,4/1/2012,Startup,https://angel.co/company/neptunide,Poland,Developer Tools,NeptunIDE,,160200,-,Seed,neptunide.com,7.709589041,20779.3177,0,0,,0,0
2287,2287,3/1/2014,Startup,https://angel.co/company/nerdwallet,San Francisco,Personal Finance,NerdWallet,,69000000,201-500,Series A,nerdwallet.com,5.794520548,11907801.42,1,1,350,64.4K,"2,076"
2288,2288,7/1/2013,Startup,https://angel.co/company/nessos-m-brace-the-cloud,Athens,Risk Management,Nessos/{m}brace the cloud,,500000,10-Jan,Seed,m-brace.net,6.460273973,77396.09839,0,0,5,534,91
2289,2289,8/1/2017,Startup,https://angel.co/company/netlify,San Francisco,Web Development,Netlify,,16235000,Nov-50,Series A,netlify.com,2.37260274,6842696.305,1,1,25,52K,"1,045"
2293,2293,9/1/2015,Startup,https://angel.co/company/neumob,Sunnyvale,Sass,Neumob,,10900000,Nov-50,Series A,neumob.com,4.290410959,2540549.17,1,0,25,766,0
2294,2294,3/1/2013,Startup,https://angel.co/company/neuro-1,Durham,Neuroscience,NeuroPlus,,1325000,10-Jan,Seed,neuropl.us,6.794520548,195010.0806,0,0,5,489,745
2295,2295,9/1/2015,Startup,https://angel.co/company/neurogenica,Palo Alto,Neuroscience,Neurogenica,,2500000,10-Jan,Seed,neuro-genica.com,4.290410959,582694.7637,1,0,5,0,0
2296,2296,2/1/2015,Startup,https://angel.co/company/neuron-gym-2,Gurgaon,Brain Health,Neuron Gym,,25000,10-Jan,Seed,neurongym.com,4.871232877,5132.170979,0,0,5,42,1
2298,2298,5/1/2012,Startup,https://angel.co/company/new-avenue,Emeryville,Home Renovation,New Avenue,,611000,51-200,Seed,newavenuehomes.com,7.62739726,80105.96264,0,0,125,476,19
2300,2300,8/1/2011,Startup,https://angel.co/company/newhound,Southern California,Mobile Advertising,NewHound,,1500000,10-Jan,Seed,NewHound.com,8.378082192,179038.5873,0,0,5,239,669
2301,2301,12/1/2015,Startup,https://angel.co/company/newstore,Boston,Mobile Commerce,NewStore,,80000000,51-200,Series A,newstore.com,4.04109589,19796610.17,1,1,125,"1,133",647
2302,2302,3/1/2013,Startup,https://angel.co/company/newtopia,Toronto,Corporate Wellness,Newtopia,,5000000,51-200,Seed,newtopia.com,6.794520548,735887.0968,1,0,125,988,150
2303,2303,4/1/2013,Startup,https://angel.co/company/newzmate-inc,Kiev,Email,Newzmate,,365000,10-Jan,Seed,traq.li,6.709589041,54399.755,0,0,5,0,0
2305,2305,1/1/2015,Startup,https://angel.co/company/nextdottech,San Francisco,Technology,Next Tech,,1100000,Nov-50,Seed,next.tech,4.956164384,221945.8264,0,0,25,462,996
2306,2306,6/1/2015,Startup,https://angel.co/company/nextdeavor,Santa Monica,Temporary Staffing,NextDeavor,,100000,10-Jan,Seed,nextdeavor.com,4.542465753,22014.47527,0,0,5,0,0
2310,2310,7/1/2016,Startup,https://angel.co/company/nextwin-1,Roma,Fantasy Sports,Nextwin,,333675,10-Jan,Seed,nextwin.com,3.457534247,96506.63629,0,0,5,0,0
2312,2312,9/1/2013,Startup,https://angel.co/company/niche-1,New York City,Social Media,Niche,,2500000,Nov-50,Seed,niche.us,6.290410959,397430.3136,1,0,25,0,0
2313,2313,12/1/2013,Startup,https://angel.co/company/niche-video-media,Atlanta,Video Streaming,Niche Video Media,,240000,Nov-50,Seed,nichevid.com,6.04109589,39727.89116,0,0,25,207,193
2314,2314,11/1/2013,Startup,https://angel.co/company/night-up,New York City,Mobile Commerce,Night Up,,500000,Nov-50,Seed,nightuplife.com,6.123287671,81655.48098,0,0,25,0,0
2317,2317,3/1/2015,Startup,https://angel.co/company/nightadvisor,Munich,Nightlife,Nightadvisor,,194250,10-Jan,Seed,nightadvisor.com,4.794520548,40515,0,0,5,6,14
2318,2318,8/1/2013,Startup,https://angel.co/company/nimalabs,San Francisco,Health and Wellness,Nima,,17200000,Nov-50,Series A,nimasensor.com,6.375342466,2697894.284,1,1,25,"3,047","1,088"
2319,2319,11/1/2011,Startup,https://angel.co/company/nimble,Santa Monica,Social CRM,Nimble,,3000000,Nov-50,Seed,nimble.com,8.126027397,369184.0863,1,0,25,17.6K,10.5K
2320,2320,6/1/2011,Startup,https://angel.co/company/nimblecommerce,Santa Clara,SaaS,NimbleCommerce,,8700000,51-200,Series A,nimblecommerce.com,8.545205479,1018114.78,1,0,125,"1,157",777
2322,2322,2/1/2016,Startup,https://angel.co/company/nirmidas-biotech,Palo Alto,Diagnostics,Nirmidas Biotech,,7000000,10-Jan,Series A,nirmidas.com,3.871232877,1808209.483,1,0,5,77,94
2323,2323,5/1/2012,Startup,https://angel.co/company/nitrous,Silicon Valley,PaaS,Nitrous,,7650000,Nov-50,Series A,nitrous.io,7.62739726,1002963.362,1,0,25,10.8K,2
2324,2324,5/1/2017,Startup,https://angel.co/company/no-isolation,Amsterdam,Robotics,No Isolation,,2800000,51-200,Seed,noisolation.com,2.624657534,1066805.846,1,0,125,"2,387","2,088"
2325,2325,12/1/2016,Startup,https://angel.co/company/nomoonstudio,Boulder,Digital Entertainment,No Moon,,10000,10-Jan,Seed,nomoon.io,3.038356164,3291.253381,0,0,5,0,0
2326,2326,7/1/2014,Startup,https://angel.co/company/noble-brewer,Oakland,Subscription Businesses,Noble Brewer,,500000,10-Jan,Seed,NobleBrewer.com,5.460273973,91570.49674,0,0,5,"5,705","5,411"
2328,2328,9/1/2014,Startup,https://angel.co/company/nordsafety,Helsinki,Construction,NordSafety,,150000,10-Jan,Seed,nordsafety.com,5.290410959,28353.18488,0,0,5,0,0
2330,2330,8/1/2010,Startup,https://angel.co/company/norse-1,San Mateo,Enterprise Security,Norse,,33450000,51-200,Series A,norse-corp.com,9.378082192,3566827.344,1,1,125,15.1K,"5,950"
2332,2332,7/1/2013,Startup,https://angel.co/company/notebowl,Phoenix,Private Social Networking,Notebowl,,900000,Nov-50,Seed,notebowl.com,6.460273973,139312.9771,0,0,25,0,0
2333,2333,1/1/2015,Startup,https://angel.co/company/noteworth,Hoboken,Digital Health,Noteworth,,5100000,Nov-50,Seed,noteworth.com,4.956164384,1029021.559,1,0,25,226,432
2334,2334,6/1/2018,Startup,https://angel.co/company/notice-kiosk,New York City,Local Advertising,Notice Kiosk,,300000,10-Jan,Seed,noticekiosk.com,1.539726027,194839.8577,0,0,5,339,"1,631"
2335,2335,6/1/2012,Startup,https://angel.co/company/wowiddoo,Tel Aviv-Yafo,Financial Services,Notondd,,11700000,Nov-50,Series A,notinterested.com,7.542465753,1551216.854,1,0,25,0,0
2336,2336,10/1/2013,Startup,https://angel.co/company/nous-1,London,Skill Gaming,Nous Global Markets,,1150000,10-Jan,Seed,nous.net,6.208219178,185238.3054,0,0,5,344,353
